,monthly_income,monthly_outcome,total_credit_payments,payments_per_year,loan_term,loan_amount,_will_pay,worst_previous_delinquency,worst_previous_fraction,_is_account_recent,_is_common_type,ratio_outcome_income,sqrt_income,sqrt_outcome,log_income,log_outcome
1133,1276,23305,16.0,52,0.3076923076923077,11080.0,1,0.0,0.0,1,0,0.054752199098905815,35.7211421989835,152.6597523907333,7.151485463904735,10.05642320880684
1134,1276,23305,16.0,52,0.3076923076923077,16064.0,1,0.0,0.0,1,0,0.054752199098905815,35.7211421989835,152.6597523907333,7.151485463904735,10.05642320880684
1135,1276,23305,12.0,12,1.0,10000.0,1,0.0,0.0,1,0,0.054752199098905815,35.7211421989835,152.6597523907333,7.151485463904735,10.05642320880684
1136,1276,23305,16.0,52,0.3076923076923077,23504.0,1,0.0,0.0,1,0,0.054752199098905815,35.7211421989835,152.6597523907333,7.151485463904735,10.05642320880684
1137,1276,23305,12.0,12,1.0,15000.0,1,1469.0,0.0625,1,0,0.054752199098905815,35.7211421989835,152.6597523907333,7.151485463904735,10.05642320880684
1138,1276,23305,16.0,52,0.3076923076923077,25065.0,1,1469.0,0.0625,1,0,0.054752199098905815,35.7211421989835,152.6597523907333,7.151485463904735,10.05642320880684
1139,1276,23305,16.0,52,0.3076923076923077,30067.0,1,1469.0,0.0625,1,0,0.054752199098905815,35.7211421989835,152.6597523907333,7.151485463904735,10.05642320880684
1140,1276,23305,16.0,52,0.3076923076923077,33074.0,1,1469.0,0.0625,1,0,0.054752199098905815,35.7211421989835,152.6597523907333,7.151485463904735,10.05642320880684
1141,1276,23305,16.0,52,0.3076923076923077,50062.0,1,1469.0,0.0625,1,0,0.054752199098905815,35.7211421989835,152.6597523907333,7.151485463904735,10.05642320880684
1142,1276,23305,12.0,12,1.0,31728.0,1,1469.0,0.0625,1,0,0.054752199098905815,35.7211421989835,152.6597523907333,7.151485463904735,10.05642320880684
1143,1276,23305,16.0,52,0.3076923076923077,30150.0,1,1469.0,0.0625,1,0,0.054752199098905815,35.7211421989835,152.6597523907333,7.151485463904735,10.05642320880684
1145,1276,23305,1.0,12,0.08333333333333333,11000.0,1,0.0,0.0,0,0,0.054752199098905815,35.7211421989835,152.6597523907333,7.151485463904735,10.05642320880684
1146,2783,3203,60.0,12,5.0,221280.0,1,0.0,0.0,1,0,0.8688729316266001,52.754146756439916,56.595052787324086,7.931284761525891,8.071843149609158
1147,2783,3203,48.0,24,2.0,56640.0,1,0.0,0.0,1,0,0.8688729316266001,52.754146756439916,56.595052787324086,7.931284761525891,8.071843149609158
1164,14013,42973,48.0,12,4.0,130790.0,1,0.0,0.0,0,1,0.32608847415819237,118.37651794169315,207.29930052945187,9.547740749170218,10.668327290482809
1168,14013,42973,36.0,12,3.0,38808.0,1,0.0,0.0,1,1,0.32608847415819237,118.37651794169315,207.29930052945187,9.547740749170218,10.668327290482809
1170,14013,42973,48.0,12,4.0,176304.0,1,0.0,0.0,1,0,0.32608847415819237,118.37651794169315,207.29930052945187,9.547740749170218,10.668327290482809
1171,14013,42973,1.0,12,0.08333333333333333,3144.0,1,0.0,0.0,0,1,0.32608847415819237,118.37651794169315,207.29930052945187,9.547740749170218,10.668327290482809
1174,750,37,12.0,52,0.2307692307692308,2000.0,1,172465.0,1.0833333333333333,1,0,20.27027027027027,27.386127875258307,6.082762530298219,6.620073206530356,3.6109179126442243
1175,750,37,12.0,12,1.0,5779.384615384615,0,0.0,0.0,0,1,20.27027027027027,27.386127875258307,6.082762530298219,6.620073206530356,3.6109179126442243
1176,750,37,12.0,12,1.0,4800.0,0,0.0,0.0,0,1,20.27027027027027,27.386127875258307,6.082762530298219,6.620073206530356,3.6109179126442243
1177,750,37,60.0,12,5.0,795992.3076923076,0,0.0,0.0,0,0,20.27027027027027,27.386127875258307,6.082762530298219,6.620073206530356,3.6109179126442243
1180,750,37,1.0,12,0.08333333333333333,1380.0,1,172465.0,0.21666666666666667,1,0,20.27027027027027,27.386127875258307,6.082762530298219,6.620073206530356,3.6109179126442243
1182,750,37,1.0,12,0.08333333333333333,11041.0,1,0.0,0.0,1,0,20.27027027027027,27.386127875258307,6.082762530298219,6.620073206530356,3.6109179126442243
1183,750,37,18.0,12,1.5,9142.0,1,0.0,0.0,1,0,20.27027027027027,27.386127875258307,6.082762530298219,6.620073206530356,3.6109179126442243
1184,750,37,72.0,24,3.0,7000.0,1,0.0,0.0,0,0,20.27027027027027,27.386127875258307,6.082762530298219,6.620073206530356,3.6109179126442243
1230,6302,17323,60.0,12,5.0,8746.0,1,0.0,0.0,1,0,0.3637938001500895,79.38513714795737,131.61686821984483,8.74862232231722,9.759790377278941
1338,333,1576,1.0,12,0.08333333333333333,19.0,0,1348.0,1.0,1,0,0.21129441624365483,18.24828759089466,39.698866482558415,5.808142489980444,7.362645270417825
1339,333,1576,1.0,12,0.08333333333333333,1090.0,1,1250.0,1.0,1,0,0.21129441624365483,18.24828759089466,39.698866482558415,5.808142489980444,7.362645270417825
1341,333,1576,4.0,24,0.16666666666666666,1797.333333333333,0,1250.0,1.0,1,0,0.21129441624365483,18.24828759089466,39.698866482558415,5.808142489980444,7.362645270417825
1342,333,1576,4.0,24,0.16666666666666666,2500.0,0,1348.0,1.0,1,0,0.21129441624365483,18.24828759089466,39.698866482558415,5.808142489980444,7.362645270417825
1343,333,1576,1.0,24,0.04166666666666666,1250.0,0,0.0,0.0,1,0,0.21129441624365483,18.24828759089466,39.698866482558415,5.808142489980444,7.362645270417825
1344,333,1576,4.0,24,0.16666666666666666,2500.0,0,1250.0,1.0,1,0,0.21129441624365483,18.24828759089466,39.698866482558415,5.808142489980444,7.362645270417825
1345,333,1576,1.0,12,0.08333333333333333,1500.0,1,1348.0,1.0,1,0,0.21129441624365483,18.24828759089466,39.698866482558415,5.808142489980444,7.362645270417825
1346,333,1576,12.0,12,1.0,14160.0,1,1348.0,1.0,1,0,0.21129441624365483,18.24828759089466,39.698866482558415,5.808142489980444,7.362645270417825
1350,333,1576,1.0,12,0.08333333333333333,1500.0,1,1348.0,1.0,1,0,0.21129441624365483,18.24828759089466,39.698866482558415,5.808142489980444,7.362645270417825
1351,333,1576,12.0,12,1.0,14160.0,1,1250.0,1.0,1,0,0.21129441624365483,18.24828759089466,39.698866482558415,5.808142489980444,7.362645270417825
1355,333,1576,1.0,12,0.08333333333333333,1000.0,1,1250.0,1.0,1,0,0.21129441624365483,18.24828759089466,39.698866482558415,5.808142489980444,7.362645270417825
1356,333,1576,1.0,12,0.08333333333333333,1000.0,1,1250.0,1.0,1,0,0.21129441624365483,18.24828759089466,39.698866482558415,5.808142489980444,7.362645270417825
1357,333,1576,12.0,12,1.0,14760.0,1,1250.0,1.0,1,0,0.21129441624365483,18.24828759089466,39.698866482558415,5.808142489980444,7.362645270417825
1439,87,34957,16.0,24,0.6666666666666666,8192.0,1,0.0,0.0,1,0,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1440,87,34957,12.0,24,0.5,6499.0,1,512.0,0.0625,1,0,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1441,87,34957,12.0,24,0.5,6499.0,1,512.0,0.0625,1,0,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1442,87,34957,12.0,12,1.0,5100.0,1,0.0,0.0,0,1,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1443,87,34957,24.0,24,1.0,6192.0,1,512.0,0.0625,1,0,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1444,87,34957,24.0,24,1.0,5000.0,1,512.0,0.0625,1,0,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1445,87,34957,24.0,24,1.0,10538.181818181818,0,512.0,0.0625,1,0,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1449,87,34957,1.0,24,0.04166666666666666,1500.0,1,4830.0,0.4583333333333333,1,0,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1450,87,34957,36.0,12,3.0,38952.0,1,4830.0,0.4583333333333333,1,0,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1451,87,34957,1.0,12,0.08333333333333333,1.0,1,512.0,0.0625,1,1,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1459,87,34957,24.0,24,1.0,10000.0,1,512.0,0.0625,1,1,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1460,87,34957,60.0,12,5.0,31843.0,1,512.0,0.0625,1,0,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
1461,87,34957,36.0,12,3.0,192682.0,1,512.0,0.0625,1,0,0.0024887719197871673,9.327379053088816,186.96791168540125,4.465908118654584,10.461874013730402
